Experiment Name,Well Name,Cluster ID,Cluster Area (um^2),Number of Nuclei,Cluster Mean Intenisty,Cluster Perimeter (um),Cluster Convex Hull (um),Cluster Convex Hull to Perimeter Ratio,Cluster Distance from Well Edge (um)
,,,,,,,,,
110520_proxOrg_FFU,A01,1,1890.6102,4,1242.6255,285.9533,243.061,0.85,43.9714
,,,,,,,,,
110520_proxOrg_FFU,A01,2,10614.641,23,767.4911,665.2913,509.0449,0.7651,40.1934
,,,,,,,,,
110520_proxOrg_FFU,A01,3,1028.1605,2,626.4396,129.7521,126.7458,0.9768,63.5432
,,,,,,,,,
110520_proxOrg_FFU,A01,4,1856.7148,6,656.9502,196.3315,182.4514,0.9293,182.3564
,,,,,,,,,
110520_proxOrg_FFU,A01,5,2338.2447,0,546.3274,181.2013,174.538,0.9632,991.1564
,,,,,,,,,
110520_proxOrg_FFU,A01,6,870.52,1,551.8127,109.8649,107.5855,0.9793,680.5867
,,,,,,,,,
110520_proxOrg_FFU,A01,7,514.3493,1,526.0701,94.5873,92.1706,0.9745,659.8206
,,,,,,,,,
110520_proxOrg_FFU,A01,8,1101.8696,0,537.2979,127.7511,123.6975,0.9683,759.014
,,,,,,,,,
110520_proxOrg_FFU,A01,9,10866.4354,25,814.8719,722.5222,525.8011,0.7277,232.6768
,,,,,,,,,
110520_proxOrg_FFU,A01,10,631.6381,2,553.4378,107.3606,104.0227,0.9689,155.7062
,,,,,,,,,
110520_proxOrg_FFU,A01,11,13283.2313,30,944.8119,762.5177,601.9918,0.7895,94.9813
,,,,,,,,,
110520_proxOrg_FFU,A01,12,1171.8125,0,518.3264,137.0565,129.0619,0.9417,503.687
,,,,,,,,,
110520_proxOrg_FFU,A01,13,11781.0732,25,1009.1972,738.5676,581.8707,0.7878,51.4275
,,,,,,,,,
110520_proxOrg_FFU,A01,14,2161.7734,0,542.4667,181.7353,173.3986,0.9541,175.2885
,,,,,,,,,
110520_proxOrg_FFU,A01,15,3876.4503,0,576.8784,271.7562,252.9591,0.9308,71.6733
,,,,,,,,,
110520_proxOrg_FFU,A01,16,500.8987,1,731.0569,86.1107,84.5732,0.9821,148.4507
,,,,,,,,,
110520_proxOrg_FFU,A01,17,26440.5655,60,853.8892,1256.6807,789.2054,0.628,659.251
,,,,,,,,,
110520_proxOrg_FFU,A01,18,731.1722,0,553.7454,99.4179,97.9543,0.9853,156.0496
,,,,,,,,,
110520_proxOrg_FFU,A01,19,3671.4638,10,763.2635,295.8969,269.1002,0.9094,205.8494
,,,,,,,,,
110520_proxOrg_FFU,A01,20,3665.5456,4,675.777,321.1308,280.5806,0.8737,57.2139
,,,,,,,,,
110520_proxOrg_FFU,A01,21,1462.3445,1,637.8227,170.2204,161.8447,0.9508,110.7917
,,,,,,,,,
110520_proxOrg_FFU,A01,22,741.3947,2,900.0276,118.7406,116.1614,0.9783,532.9346
,,,,,,,,,
110520_proxOrg_FFU,A01,23,2240.8627,2,730.0701,253.4708,214.387,0.8458,530.1507
,,,,,,,,,
110520_proxOrg_FFU,A01,24,1111.554,1,977.7357,155.4462,150.7897,0.97,583.9153
,,,,,,,,,
110520_proxOrg_FFU,A01,25,639.1704,0,530.7374,100.0688,99.5973,0.9953,9.8757
,,,,,,,,,
110520_proxOrg_FFU,A01,26,968.4401,0,517.22,160.7802,142.5443,0.8866,9.1007
,,,,,,,,,
110520_proxOrg_FFU,A01,27,538.0222,1,524.066,85.681,84.3747,0.9848,10.3716
,,,,,,,,,
110520_proxOrg_FFU,A01,28,876.9763,0,514.9577,113.5845,110.9503,0.9768,308.9212
,,,,,,,,,
110520_proxOrg_FFU,A01,29,761.3015,1,551.1039,111.5836,108.6522,0.9737,12.2999
,,,,,,,,,
110520_proxOrg_FFU,A02,1,15588.1186,9,533.3616,520.4395,493.9571,0.9491,46.3766
,,,,,,,,,
110520_proxOrg_FFU,A02,2,1389.1734,0,537.5624,139.8431,135.0568,0.9658,245.7775
,,,,,,,,,
110520_proxOrg_FFU,A02,3,473.4596,3,499.4205,101.818,100.9014,0.991,5.6996
,,,,,,,,,
110520_proxOrg_FFU,A02,4,1241.7554,4,1076.8627,158.0547,146.3395,0.9259,11.5001
,,,,,,,,,
110520_proxOrg_FFU,A02,5,29998.5066,69,815.6759,955.9405,727.3201,0.7608,184.0188
,,,,,,,,,
110520_proxOrg_FFU,A02,6,651.0069,2,533.1579,134.4048,128.9151,0.9592,228.1853
,,,,,,,,,
110520_proxOrg_FFU,A02,7,1246.0595,1,759.168,137.9159,135.1766,0.9801,153.169
,,,,,,,,,
110520_proxOrg_FFU,A02,8,587.5203,1,514.685,89.6523,88.8086,0.9906,22.9265
,,,,,,,,,
110520_proxOrg_FFU,A02,9,1893.3003,0,518.5408,162.8117,157.5412,0.9676,1026.5482
,,,,,,,,,
110520_proxOrg_FFU,A02,10,1046.4533,0,532.5943,120.8458,117.589,0.973,1044.1296
,,,,,,,,,
110520_proxOrg_FFU,A02,11,16465.0949,24,770.593,872.53,626.7263,0.7183,49.658
,,,,,,,,,
110520_proxOrg_FFU,A02,12,1837.346,3,1240.5857,175.9715,169.9086,0.9655,346.3318
,,,,,,,,,
110520_proxOrg_FFU,A02,13,1729.2035,0,530.7657,154.2614,149.5687,0.9696,1091.1899
,,,,,,,,,
110520_proxOrg_FFU,A02,14,744.0848,4,524.0752,102.2045,100.7366,0.9856,68.2019
,,,,,,,,,
110520_proxOrg_FFU,A02,15,638.6324,2,847.091,93.372,92.0218,0.9855,179.4329
,,,,,,,,,
