Experiment Name,Well Name,Total Nuclei,Cluster Positive Nuclei,Percent Nuclei Cluster Positive,Number of Clusters,Mean Nuclei Per Cluster,Mean Cluster Size (um^2),Mean Cluster Intensity,Mean Cluster Perimeter (um^2),Mean Clusetr Convex Hull (um^2),Mean Cluster Perimeter to Convex Hull Ratio
,,,,,,,,,,,
110520_proxOrg_FFU,A01,21265,202,0.959,29,6.9655,3735.7668,685.3958,277.278,228.935,0.8257
,,,,,,,,,,,
110520_proxOrg_FFU,A02,19880,201,1.0214,29,6.931,4492.0776,677.2653,265.5354,224.9872,0.8473
,,,,,,,,,,,
110520_proxOrg_FFU,A03,20299,150,0.7445,23,6.5217,4055.4012,653.8171,262.9068,224.1979,0.8528
,,,,,,,,,,,
110520_proxOrg_FFU,A04,19394,157,0.8161,20,7.85,4721.1452,744.5972,305.1112,252.1536,0.8264
,,,,,,,,,,,
110520_proxOrg_FFU,A05,18861,274,1.4741,25,10.96,9465.7483,604.7022,414.2597,304.3484,0.7347
,,,,,,,,,,,
110520_proxOrg_FFU,A06,18719,238,1.2878,40,5.95,6235.772,668.3213,360.316,289.5984,0.8037
,,,,,,,,,,,
110520_proxOrg_FFU,A07,17426,564,3.3448,35,16.1143,12865.0651,646.3364,518.2783,373.4121,0.7205
,,,,,,,,,,,
110520_proxOrg_FFU,A08,19220,580,3.1116,34,17.0588,11817.3106,609.0843,470.0802,343.8879,0.7316
,,,,,,,,,,,
110520_proxOrg_FFU,A09,20206,170,0.8485,25,6.8,5116.2257,661.7647,280.0828,230.6725,0.8236
,,,,,,,,,,,
110520_proxOrg_FFU,A10,21092,792,3.9015,61,12.9836,8839.9878,664.0074,463.3607,331.2245,0.7148
,,,,,,,,,,,
110520_proxOrg_FFU,A11,24066,150,0.6272,27,5.5556,3615.3302,688.0186,255.0499,224.5381,0.8804
,,,,,,,,,,,
110520_proxOrg_FFU,A12,25855,218,0.8503,29,7.5172,6513.687,670.598,387.1131,294.3856,0.7605
,,,,,,,,,,,
110520_proxOrg_FFU,B01,17341,175,1.0195,13,13.4615,8430.9328,638.4484,462.9707,343.1891,0.7413
,,,,,,,,,,,
110520_proxOrg_FFU,B02,20186,188,0.9401,26,7.2308,5674.4793,699.1277,333.221,270.5905,0.812
,,,,,,,,,,,
110520_proxOrg_FFU,B03,23597,433,1.8693,39,11.1026,8190.3265,634.4232,439.5278,318.7361,0.7252
,,,,,,,,,,,
110520_proxOrg_FFU,B04,18905,123,0.6549,33,3.7273,3143.8107,646.6157,234.7667,208.0828,0.8863
,,,,,,,,,,,
110520_proxOrg_FFU,B05,20907,494,2.42,48,10.2917,8561.7386,678.7471,442.4154,334.4169,0.7559
,,,,,,,,,,,
110520_proxOrg_FFU,B06,19903,185,0.9382,44,4.2045,4446.9251,638.3129,311.7999,253.4279,0.8128
,,,,,,,,,,,
110520_proxOrg_FFU,B07,19077,371,1.9833,43,8.6279,9181.3247,658.1371,433.735,341.3918,0.7871
,,,,,,,,,,,
110520_proxOrg_FFU,B08,21132,348,1.6744,33,10.5455,11718.8094,628.5505,495.5871,374.4332,0.7555
,,,,,,,,,,,
110520_proxOrg_FFU,B09,20328,396,1.9868,53,7.4717,7578.5002,641.4102,399.2117,317.4473,0.7952
,,,,,,,,,,,
110520_proxOrg_FFU,B10,22965,590,2.6369,37,15.9459,11962.5757,657.0711,541.6919,401.2358,0.7407
,,,,,,,,,,,
110520_proxOrg_FFU,B11,24726,380,1.5608,35,10.8571,9506.0077,655.2193,508.9086,362.5935,0.7125
,,,,,,,,,,,
110520_proxOrg_FFU,B12,24360,421,1.7586,30,14.0333,9051.0048,647.8134,522.2528,426.0955,0.8159
,,,,,,,,,,,
110520_proxOrg_FFU,C01,18749,109,0.5848,8,13.625,7854.3178,628.6065,475.4319,353.2919,0.7431
,,,,,,,,,,,
110520_proxOrg_FFU,C02,18268,122,0.6723,29,4.2069,3855.5973,663.0938,265.1964,223.9803,0.8446
,,,,,,,,,,,
110520_proxOrg_FFU,C03,21876,313,1.4516,41,7.6341,6293.2856,648.4233,354.5567,288.8871,0.8148
,,,,,,,,,,,
110520_proxOrg_FFU,C04,21196,258,1.2322,47,5.4894,5330.8733,669.1867,341.4649,276.6628,0.8102
,,,,,,,,,,,
110520_proxOrg_FFU,C05,22476,283,1.2752,52,5.4423,5470.3516,649.5392,338.5422,269.0074,0.7946
,,,,,,,,,,,
110520_proxOrg_FFU,C06,22425,277,1.2507,42,6.5952,5365.7984,659.544,364.6554,274.1314,0.7518
,,,,,,,,,,,
110520_proxOrg_FFU,C07,21822,452,2.1151,42,10.7619,9758.9422,601.9614,494.3756,353.7101,0.7155
,,,,,,,,,,,
110520_proxOrg_FFU,C08,21681,285,1.332,32,8.9062,10511.1894,618.3862,520.117,381.8735,0.7342
,,,,,,,,,,,
110520_proxOrg_FFU,C09,21856,562,2.6392,44,12.7727,12332.7539,646.3204,564.8503,424.4274,0.7514
,,,,,,,,,,,
110520_proxOrg_FFU,C10,23187,391,1.7152,45,8.6889,8484.0609,679.2035,463.5177,338.9687,0.7313
,,,,,,,,,,,
110520_proxOrg_FFU,C11,24049,537,2.2839,28,19.1786,15320.0875,655.215,645.547,457.2506,0.7083
,,,,,,,,,,,
110520_proxOrg_FFU,C12,27314,471,1.7546,29,16.2414,11418.9471,636.9417,581.9405,438.9443,0.7543
,,,,,,,,,,,
110520_proxOrg_FFU,D01,17090,33,0.1935,8,4.125,2090.9562,746.0124,207.7392,190.4721,0.9169
,,,,,,,,,,,
110520_proxOrg_FFU,D02,17658,39,0.2214,19,2.0526,1046.6798,757.5201,129.1329,124.8225,0.9666
,,,,,,,,,,,
110520_proxOrg_FFU,D03,21578,65,0.3021,25,2.6,1712.3527,717.094,173.5305,160.2433,0.9234
,,,,,,,,,,,
110520_proxOrg_FFU,D04,20603,41,0.1994,21,1.9524,1292.3807,765.6666,151.727,141.484,0.9325
,,,,,,,,,,,
110520_proxOrg_FFU,D05,22087,48,0.2178,18,2.6667,1787.6088,755.0526,200.717,172.6622,0.8602
,,,,,,,,,,,
110520_proxOrg_FFU,D06,24961,64,0.2571,17,3.7647,1890.895,727.5522,189.6155,173.1956,0.9134
,,,,,,,,,,,
110520_proxOrg_FFU,D07,20123,61,0.3041,25,2.44,1704.8849,678.1276,174.2864,159.209,0.9135
,,,,,,,,,,,
110520_proxOrg_FFU,D08,21433,73,0.3418,26,2.8077,2087.8988,727.6688,207.3141,184.4611,0.8898
,,,,,,,,,,,
110520_proxOrg_FFU,D09,23396,110,0.4724,33,3.3333,2234.2434,680.2061,193.4968,177.4541,0.9171
,,,,,,,,,,,
110520_proxOrg_FFU,D10,23357,54,0.2317,27,2,1797.353,732.3536,181.3903,164.9123,0.9092
,,,,,,,,,,,
